"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Egypt, Arab Rep.","EGY",189353653,0.709945124182979,2,26,2,5,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,2,1,1,2,1,2,1,2,2,2,,,2,2,2,,,,2,2,2,2,2,2,2,,4,3,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,2,1,1,3,1,,0,0,2,4,4,4,2,5,1,2,1,0
"Egypt, Arab Rep.","EGY",177497760,0.704186489235864,1,30,2,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,2,,1,,0,1,4,4,4,4,4,5,2,2,0,0
"Egypt, Arab Rep.","EGY",203300232,1.40515691006735,2,36,1,3,1,2,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,3,3,1,1,4,1,,0,0,1,4,4,4,4,5,1,2,1,0
"Egypt, Arab Rep.","EGY",114316977,3.11935373662285,1,20,3,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,1,,,,,2,,,2,2,1,2,1,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,1,4,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Egypt, Arab Rep.","EGY",131012741,0.42392722480103,2,65,2,2,2,2,1,1,0,2,1,1,2,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,1,2,1,2,2,,,,,,2,,,,,,,1,2,1,2,,,2,,,,,,1,1,1,4,3,1,,0,1,4,1,4,4,4,3,1,2,1,0
"Egypt, Arab Rep.","EGY",207490517,2.29182723834122,1,45,1,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,4,1,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Egypt, Arab Rep.","EGY",173590712,2.53219898466704,1,23,3,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,1,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,4,2,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Egypt, Arab Rep.","EGY",174914266,0.232307408579859,2,61,2,4,2,1,1,1,0,2,2,1,2,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,1,2,,5,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,1,2,,,2,,,,,,2,1,1,4,2,1,,1,1,4,4,1,4,2,5,1,2,1,0
"Egypt, Arab Rep.","EGY",135519454,0.587223172025815,2,21,2,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,0,4,4,4,4,4,5,1,2,0,0
"Egypt, Arab Rep.","EGY",202220822,2.40680642892385,2,24,3,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,1,1,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,1,2,0,0
